,cleaned_label,description,domain,id,range,superproperty
1355,linguistics tradition,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/linguisticsTradition,,
1356,linked space,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/linkedSpace,['http://www.w3.org/2001/XMLSchema#string'],
1357,linked to,,['http://dbpedia.org/ontology/SkiResort'],http://dbpedia.org/ontology/linkedTo,['http://dbpedia.org/ontology/Place'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
1358,list item of,,,http://dbpedia.org/ontology/listItemOf,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf']
1359,literary genre,"A literary genre is a category of literary composition. Genres may be determined by literary technique, tone, content, or even (as in the case of fiction) length.",['http://dbpedia.org/ontology/WrittenWork'],http://dbpedia.org/ontology/literaryGenre,,"['http://dbpedia.org/ontology/genre', 'http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy']"
1360,little pool record,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/littlePoolRecord,['http://www.w3.org/2001/XMLSchema#string'],
1361,living place,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/livingPlace,['http://dbpedia.org/ontology/Place'],
1362,load limit,Load limit of the bridge.,['http://dbpedia.org/ontology/Bridge'],http://dbpedia.org/ontology/loadLimit,['http://www.w3.org/2001/XMLSchema#double'],
1363,local authority,,,http://dbpedia.org/ontology/localAuthority,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
1364,local phone prefix,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/localPhonePrefix,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
1365,locality,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/locality,['http://www.w3.org/2001/XMLSchema#string'],
1366,localization,,['http://dbpedia.org/ontology/Island'],http://dbpedia.org/ontology/localization,['http://www.w3.org/2001/XMLSchema#string'],
1367,localization thumbnail,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/localizationThumbnail,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isExpressedBy']
1368,localization thumbnail caption,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/localizationThumbnailCaption,['http://www.w3.org/2001/XMLSchema#string'],
1369,located in area,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/locatedInArea,['http://dbpedia.org/ontology/Place'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
1370,location,The location of the thing.,,http://dbpedia.org/ontology/location,['http://dbpedia.org/ontology/Place'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
1371,location city,City the thing is located.,['http://dbpedia.org/ontology/Organisation'],http://dbpedia.org/ontology/locationCity,['http://dbpedia.org/ontology/City'],"['http://dbpedia.org/ontology/location', 'http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']"
1372,location country,Country the thing is located.,,http://dbpedia.org/ontology/locationCountry,['http://dbpedia.org/ontology/Country'],"['http://dbpedia.org/ontology/location', 'http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']"
1373,location identifier,,['http://dbpedia.org/ontology/Airport'],http://dbpedia.org/ontology/locationIdentifier,['http://www.w3.org/2001/XMLSchema#string'],
1374,location name,"Location of the thing as string. Use ""location"" if the location is a resource",,http://dbpedia.org/ontology/locationName,['http://www.w3.org/2001/XMLSchema#string'],
1375,locomotive,,['http://dbpedia.org/ontology/Train'],http://dbpedia.org/ontology/locomotive,['http://dbpedia.org/ontology/Locomotive'],
1376,locus supplementary data,,['http://dbpedia.org/ontology/Protein'],http://dbpedia.org/ontology/locusSupplementaryData,['http://www.w3.org/2001/XMLSchema#string'],
1377,logo,,,http://dbpedia.org/ontology/logo,['http://www.w3.org/2001/XMLSchema#string'],
1378,long distance piste kilometre,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/longDistancePisteKilometre,['http://www.w3.org/2001/XMLSchema#double'],
1379,long distance piste number,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/longDistancePisteNumber,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
1380,long name,,,http://dbpedia.org/ontology/longName,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
1381,longtype,can be used to include more informations e.g. the name of the artist that a tribute album is in honor of,['http://dbpedia.org/ontology/Album'],http://dbpedia.org/ontology/longtype,['http://www.w3.org/2001/XMLSchema#string'],
1382,lounge,,['http://dbpedia.org/ontology/Airline'],http://dbpedia.org/ontology/lounge,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
1383,lower age,,['http://dbpedia.org/ontology/School'],http://dbpedia.org/ontology/lowerAge,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
1384,lower earth orbit payload,Payload mass in a typical Low Earth orbit,['http://dbpedia.org/ontology/Rocket'],http://dbpedia.org/ontology/lowerEarthOrbitPayload,['http://www.w3.org/2001/XMLSchema#double'],
1385,lowest,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/lowest,['http://www.w3.org/2001/XMLSchema#string'],
1386,lowest altitude,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/lowestAltitude,['http://dbpedia.org/ontology/Altitude'],['http://dbpedia.org/ontology/altitude']
1387,lowest mountain,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/lowestMountain,['http://dbpedia.org/ontology/Mountain'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf']
1388,lowest place,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/lowestPlace,['http://dbpedia.org/ontology/PopulatedPlace'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf']
1389,lowest point,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/lowestPoint,['http://dbpedia.org/ontology/Place'],
1390,lowest position,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/lowestPosition,['http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf']
1391,lowest region,,['http://dbpedia.org/ontology/Island'],http://dbpedia.org/ontology/lowestRegion,['http://dbpedia.org/ontology/PopulatedPlace'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf']
1392,lowest state,,['http://dbpedia.org/ontology/Island'],http://dbpedia.org/ontology/lowestState,['http://dbpedia.org/ontology/PopulatedPlace'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf']
1393,lunar eva time,,['http://dbpedia.org/ontology/SpaceMission'],http://dbpedia.org/ontology/lunarEvaTime,['http://www.w3.org/2001/XMLSchema#double'],
1394,lunar landing site,,['http://dbpedia.org/ontology/SpaceMission'],http://dbpedia.org/ontology/lunarLandingSite,['http://www.w3.org/2001/XMLSchema#string'],
1395,lunar module,,['http://dbpedia.org/ontology/SpaceMission'],http://dbpedia.org/ontology/lunarModule,['http://www.w3.org/2001/XMLSchema#string'],
1396,lunar orbit time,,['http://dbpedia.org/ontology/SpaceMission'],http://dbpedia.org/ontology/lunarOrbitTime,['http://www.w3.org/2001/XMLSchema#double'],
1397,lunar rover,,['http://dbpedia.org/ontology/SpaceMission'],http://dbpedia.org/ontology/lunarRover,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant']
1398,lunar sample mass,,['http://dbpedia.org/ontology/SpaceMission'],http://dbpedia.org/ontology/lunarSampleMass,['http://www.w3.org/2001/XMLSchema#double'],
1399,lunar surface time,,['http://dbpedia.org/ontology/SpaceMission'],http://dbpedia.org/ontology/lunarSurfaceTime,['http://www.w3.org/2001/XMLSchema#double'],
1400,lymph,,['http://dbpedia.org/ontology/AnatomicalStructure'],http://dbpedia.org/ontology/lymph,['http://dbpedia.org/ontology/Lymph'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary']
1401,lyrics,"Creator of the text of a MusicalWork, eg Musical, Opera or Song",['http://dbpedia.org/ontology/MusicalWork'],http://dbpedia.org/ontology/lyrics,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
1402,magazine,,['http://dbpedia.org/ontology/WrittenWork'],http://dbpedia.org/ontology/magazine,['http://dbpedia.org/ontology/Magazine'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
1403,maiden flight,date of maiden flight,['http://dbpedia.org/ontology/Rocket'],http://dbpedia.org/ontology/maidenFlight,['http://www.w3.org/2001/XMLSchema#date'],
1404,maiden flight rocket,,['http://dbpedia.org/ontology/YearInSpaceflight'],http://dbpedia.org/ontology/maidenFlightRocket,['http://dbpedia.org/ontology/Rocket'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant']
1405,maiden voyage,,['http://dbpedia.org/ontology/Ship'],http://dbpedia.org/ontology/maidenVoyage,['http://www.w3.org/2001/XMLSchema#date'],
1406,main building,,['http://dbpedia.org/ontology/Shrine'],http://dbpedia.org/ontology/mainBuilding,['http://www.w3.org/2001/XMLSchema#string'],
1407,main character,,['http://dbpedia.org/ontology/Work'],http://dbpedia.org/ontology/mainCharacter,['http://dbpedia.org/ontology/Person'],
1408,main domain,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/mainDomain,,
1409,main family branch,,['http://dbpedia.org/ontology/NobleFamily'],http://dbpedia.org/ontology/mainFamilyBranch,['http://dbpedia.org/ontology/Family'],
1410,main interest,,,http://dbpedia.org/ontology/mainInterest,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#conceptualizes']
1411,main island,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/mainIsland,['http://dbpedia.org/ontology/Place'],
1412,main islands,,['http://dbpedia.org/ontology/Island'],http://dbpedia.org/ontology/mainIslands,['http://www.w3.org/2001/XMLSchema#string'],
1413,main organ,,['http://dbpedia.org/ontology/Organisation'],http://dbpedia.org/ontology/mainOrgan,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart']
1414,mainspan,,['http://dbpedia.org/ontology/Bridge'],http://dbpedia.org/ontology/mainspan,['http://www.w3.org/2001/XMLSchema#double'],
1415,maintained by,,['http://dbpedia.org/ontology/ArchitecturalStructure'],http://dbpedia.org/ontology/maintainedBy,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
1416,major island,,['http://dbpedia.org/ontology/Island'],http://dbpedia.org/ontology/majorIsland,['http://dbpedia.org/ontology/Island'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart']
1417,major shrine,,['http://dbpedia.org/ontology/Saint'],http://dbpedia.org/ontology/majorShrine,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
1418,majority floor leader,number of office holder,,http://dbpedia.org/ontology/majorityFloorLeader,['http://www.w3.org/2001/XMLSchema#integer'],
1419,majority leader,number of office holder,,http://dbpedia.org/ontology/majorityLeader,['http://www.w3.org/2001/XMLSchema#integer'],
1420,makeup artist,the person who is responsible for the actors makeup,['http://dbpedia.org/ontology/Film'],http://dbpedia.org/ontology/makeupArtist,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant']
1421,management,,,http://dbpedia.org/ontology/management,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
1422,management country,,['http://dbpedia.org/ontology/Island'],http://dbpedia.org/ontology/managementCountry,['http://dbpedia.org/ontology/Country'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
1423,management elevation,,,http://dbpedia.org/ontology/managementElevation,['http://www.w3.org/2001/XMLSchema#double'],
1424,management mountain,,,http://dbpedia.org/ontology/managementMountain,['http://dbpedia.org/ontology/Mountain'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
1425,management place,,,http://dbpedia.org/ontology/managementPlace,['http://dbpedia.org/ontology/PopulatedPlace'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
1426,management position,,,http://dbpedia.org/ontology/managementPosition,['http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasSetting']
1427,management region,,['http://dbpedia.org/ontology/Island'],http://dbpedia.org/ontology/managementRegion,['http://dbpedia.org/ontology/PopulatedPlace'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
1428,manager,,['http://dbpedia.org/ontology/SportsTeam'],http://dbpedia.org/ontology/manager,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
1429,manager club,,['http://dbpedia.org/ontology/Athlete'],http://dbpedia.org/ontology/managerClub,['http://dbpedia.org/ontology/SportsTeam'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
1430,manager season,,['http://dbpedia.org/ontology/Agent'],http://dbpedia.org/ontology/managerSeason,,
1431,manager title,,['http://dbpedia.org/ontology/SoccerClub'],http://dbpedia.org/ontology/managerTitle,['http://www.w3.org/2001/XMLSchema#string'],
1432,manager years,,['http://dbpedia.org/ontology/SoccerPlayer'],http://dbpedia.org/ontology/managerYears,['http://www.w3.org/2001/XMLSchema#date'],
1433,manager years end year,,,http://dbpedia.org/ontology/managerYearsEndYear,['http://www.w3.org/2001/XMLSchema#gYear'],
1434,manager years start year,,,http://dbpedia.org/ontology/managerYearsStartYear,['http://www.w3.org/2001/XMLSchema#gYear'],
1435,managing editor,,['http://dbpedia.org/ontology/Newspaper'],http://dbpedia.org/ontology/managingEditor,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
1436,mandate,,,http://dbpedia.org/ontology/mandate,['http://www.w3.org/2001/XMLSchema#string'],
1437,manufactory,,,http://dbpedia.org/ontology/manufactory,['http://dbpedia.org/ontology/Factory'],
1438,manufacturer,,,http://dbpedia.org/ontology/manufacturer,['http://dbpedia.org/ontology/Organisation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
1439,map,A map of the place.,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/map,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
1440,map caption,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/mapCaption,['http://www.w3.org/2001/XMLSchema#string'],
1441,map description,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/mapDescription,['http://www.w3.org/2001/XMLSchema#string'],
1442,march,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/march,['http://dbpedia.org/ontology/MusicalWork'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
1443,market capitalisation,,['http://dbpedia.org/ontology/Company'],http://dbpedia.org/ontology/marketCapitalisation,['http://www.w3.org/2001/XMLSchema#double'],
1444,mascot,"something, especially a person or animal, used to symbolize a sports team, company, organization or other group.",,http://dbpedia.org/ontology/mascot,['http://www.w3.org/2001/XMLSchema#string'],
1445,mass,,,http://dbpedia.org/ontology/mass,['http://www.w3.org/2001/XMLSchema#double'],
1446,massif,,['http://dbpedia.org/ontology/SkiResort'],http://dbpedia.org/ontology/massif,['http://dbpedia.org/ontology/Place'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
1447,masters wins,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/mastersWins,['http://www.w3.org/2004/02/skos/core#Concept'],
1448,match point,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/matchPoint,['http://www.w3.org/2001/XMLSchema#string'],
1449,material,,,http://dbpedia.org/ontology/material,,
1450,max,,,http://dbpedia.org/ontology/max,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
1451,max absolute magnitude,,['http://dbpedia.org/ontology/CelestialBody'],http://dbpedia.org/ontology/maxAbsoluteMagnitude,['http://www.w3.org/2001/XMLSchema#double'],
1452,max apparent magnitude,,['http://dbpedia.org/ontology/CelestialBody'],http://dbpedia.org/ontology/maxApparentMagnitude,['http://www.w3.org/2001/XMLSchema#double'],
1453,max time,Maximum preparation time of a recipe / Food,['http://dbpedia.org/ontology/Food'],http://dbpedia.org/ontology/maxTime,['http://www.w3.org/2001/XMLSchema#double'],
1454,maximum area,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/maximumArea,['http://www.w3.org/2001/XMLSchema#string'],
1455,maximum area quote,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/maximumAreaQuote,['http://www.w3.org/2001/XMLSchema#string'],
1456,maximum boat beam,,['http://dbpedia.org/ontology/Canal'],http://dbpedia.org/ontology/maximumBoatBeam,['http://www.w3.org/2001/XMLSchema#double'],
1457,maximum boat length,,['http://dbpedia.org/ontology/Canal'],http://dbpedia.org/ontology/maximumBoatLength,['http://www.w3.org/2001/XMLSchema#double'],
1458,maximum depth,Source of the value can be declare by .,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/maximumDepth,['http://www.w3.org/2001/XMLSchema#double'],['http://dbpedia.org/ontology/depth']
1459,maximum depth quote,Source of the  value.,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/maximumDepthQuote,['http://www.w3.org/2001/XMLSchema#string'],
1460,maximum discharge,,,http://dbpedia.org/ontology/maximumDischarge,['http://www.w3.org/2001/XMLSchema#double'],
1461,maximum elevation,maximum elevation above the sea level,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/maximumElevation,['http://www.w3.org/2001/XMLSchema#double'],
1462,maximum inclination,,['http://dbpedia.org/ontology/LaunchPad'],http://dbpedia.org/ontology/maximumInclination,['http://www.w3.org/2001/XMLSchema#float'],
1463,maximum temperature,,['http://dbpedia.org/ontology/Planet'],http://dbpedia.org/ontology/maximumTemperature,['http://www.w3.org/2001/XMLSchema#double'],
1464,mayor,,,http://dbpedia.org/ontology/mayor,['http://dbpedia.org/ontology/Mayor'],['http://dbpedia.org/ontology/Leader']
1465,mayor article,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/mayorArticle,['http://www.w3.org/2001/XMLSchema#string'],
1466,mayor councillor,,,http://dbpedia.org/ontology/mayorCouncillor,['http://www.w3.org/2001/XMLSchema#string'],
1467,mayor function,,['http://dbpedia.org/ontology/SwitzerlandSettlement'],http://dbpedia.org/ontology/mayorFunction,['http://www.w3.org/2001/XMLSchema#string'],
1468,mayor mandate,,['http://dbpedia.org/ontology/Mayor'],http://dbpedia.org/ontology/mayorMandate,['http://www.w3.org/2001/XMLSchema#string'],
1469,mayor title,,['http://dbpedia.org/ontology/HungarySettlement'],http://dbpedia.org/ontology/mayorTitle,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
1470,mba id,MusicBrainz is an open music encyclopedia that collects music metadata and makes it available to the public.,,http://dbpedia.org/ontology/mbaId,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
1471,mean radius,,['http://dbpedia.org/ontology/Planet'],http://dbpedia.org/ontology/meanRadius,['http://www.w3.org/2001/XMLSchema#double'],
1472,mean temperature,,['http://dbpedia.org/ontology/Planet'],http://dbpedia.org/ontology/meanTemperature,['http://www.w3.org/2001/XMLSchema#double'],
1473,meaning,,,http://dbpedia.org/ontology/meaning,['http://www.w3.org/2001/XMLSchema#string'],
1474,measurements,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/measurements,['http://www.w3.org/2001/XMLSchema#string'],
1475,medalist,,['http://dbpedia.org/ontology/SportsEvent'],http://dbpedia.org/ontology/medalist,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant']
1476,media,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/media,,
1477,media item,"A media file (such as audio, video or images) associated with the subject",,http://dbpedia.org/ontology/mediaItem,['http://dbpedia.org/ontology/File'],
1478,media type,Print / On-line (then binding types etc. if relevant),['http://dbpedia.org/ontology/WrittenWork'],http://dbpedia.org/ontology/mediaType,,
1479,medical cause,,['http://dbpedia.org/ontology/Disease'],http://dbpedia.org/ontology/medicalCause,,
1480,medical diagnosis,,['http://dbpedia.org/ontology/Disease'],http://dbpedia.org/ontology/medicalDiagnosis,,
1481,medical specialty,,['http://dbpedia.org/ontology/Disease'],http://dbpedia.org/ontology/medicalSpecialty,['http://dbpedia.org/ontology/MedicalSpecialty'],
1482,medication,,['http://dbpedia.org/ontology/Disease'],http://dbpedia.org/ontology/medication,,
1483,medline plus,,,http://dbpedia.org/ontology/medlinePlus,['http://www.w3.org/2001/XMLSchema#string'],
1484,meeting building,,['http://dbpedia.org/ontology/Legislature'],http://dbpedia.org/ontology/meetingBuilding,['http://dbpedia.org/ontology/Building'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
1485,meeting city,,['http://dbpedia.org/ontology/Legislature'],http://dbpedia.org/ontology/meetingCity,['http://dbpedia.org/ontology/Settlement'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
1486,meeting road,A road that crosses another road at the junction.,['http://dbpedia.org/ontology/RoadJunction'],http://dbpedia.org/ontology/meetingRoad,['http://dbpedia.org/ontology/Road'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary']
1487,melting point,,,http://dbpedia.org/ontology/meltingPoint,['http://www.w3.org/2001/XMLSchema#double'],
1488,member,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/member,['http://www.w3.org/2001/XMLSchema#string'],
1489,member of parliament,,,http://dbpedia.org/ontology/memberOfParliament,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasMember']
1490,membership,,['http://dbpedia.org/ontology/Organisation'],http://dbpedia.org/ontology/membership,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
1491,membership as of,,"['http://dbpedia.org/ontology/Organisation,_Parish']",http://dbpedia.org/ontology/membershipAsOf,['http://www.w3.org/2001/XMLSchema#date'],
1492,mentor,A wise and trusted counselor or teacher,['http://dbpedia.org/ontology/Artist'],http://dbpedia.org/ontology/mentor,['http://dbpedia.org/ontology/Artist'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
1493,merged settlement,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/mergedSettlement,['http://dbpedia.org/ontology/Settlement'],
1494,merged with,,['http://dbpedia.org/ontology/Organisation'],http://dbpedia.org/ontology/mergedWith,['http://dbpedia.org/ontology/Organisation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
1495,merger date,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/mergerDate,['http://www.w3.org/2001/XMLSchema#date'],
1496,mesh id,,['http://dbpedia.org/ontology/Disease'],http://dbpedia.org/ontology/meshId,['http://www.w3.org/2001/XMLSchema#string'],
1497,mesh name,,['http://dbpedia.org/ontology/AnatomicalStructure'],http://dbpedia.org/ontology/meshName,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
1498,mesh number,,['http://dbpedia.org/ontology/AnatomicalStructure'],http://dbpedia.org/ontology/meshNumber,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
1499,messier name,Name for Messier objects,['http://dbpedia.org/ontology/CelestialBody'],http://dbpedia.org/ontology/messierName,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/name']
1500,metropolitan borough,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/metropolitanBorough,['http://dbpedia.org/ontology/PopulatedPlace'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf']
1501,mgiid,Mouse Genomic Informatics ID,['http://dbpedia.org/ontology/Biomolecule'],http://dbpedia.org/ontology/mgiid,['http://www.w3.org/2001/XMLSchema#string'],
1502,military branch,"The service branch (Army, Navy, etc.) a person is part of.",['http://dbpedia.org/ontology/MilitaryPerson'],http://dbpedia.org/ontology/militaryBranch,['http://dbpedia.org/ontology/MilitaryUnit'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf']
1503,military command,"For persons who are notable as commanding officers, the units they commanded. Dates should be given if multiple notable commands were held.",['http://dbpedia.org/ontology/MilitaryPerson'],http://dbpedia.org/ontology/militaryCommand,['http://www.w3.org/2001/XMLSchema#string'],
1504,military function,,['http://dbpedia.org/ontology/MilitaryPerson'],http://dbpedia.org/ontology/militaryFunction,['http://www.w3.org/2001/XMLSchema#string'],
1505,military government,,,http://dbpedia.org/ontology/militaryGovernment,['http://www.w3.org/2001/XMLSchema#string'],
1506,military rank,The highest rank achieved by a person.,['http://dbpedia.org/ontology/MilitaryPerson'],http://dbpedia.org/ontology/militaryRank,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf']
1507,military service,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/militaryService,['http://dbpedia.org/ontology/MilitaryService'],
1508,military unit,"For persons who are not notable as commanding officers, the unit (company, battalion, regiment, etc.) in which they served.",['http://dbpedia.org/ontology/MilitaryPerson'],http://dbpedia.org/ontology/militaryUnit,['http://dbpedia.org/ontology/MilitaryUnit'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf']
1509,military unit size,the size of the military unit,,http://dbpedia.org/ontology/militaryUnitSize,['http://www.w3.org/2001/XMLSchema#string'],
1510,mill span,,['http://dbpedia.org/ontology/Mill'],http://dbpedia.org/ontology/millSpan,['http://www.w3.org/2001/XMLSchema#double'],
1511,mill type,,['http://dbpedia.org/ontology/Mill'],http://dbpedia.org/ontology/millType,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy']
1512,mills code be,mills code from the Belgian database on mills,['http://dbpedia.org/ontology/Mill'],http://dbpedia.org/ontology/millsCodeBE,['http://www.w3.org/2001/XMLSchema#string'],
1513,mills code dutch,,['http://dbpedia.org/ontology/Mill'],http://dbpedia.org/ontology/millsCodeDutch,['http://www.w3.org/2001/XMLSchema#string'],
1514,mills code nl,mills code from the central Dutch database on mills,['http://dbpedia.org/ontology/Mill'],http://dbpedia.org/ontology/millsCodeNL,['http://www.w3.org/2001/XMLSchema#string'],
1515,mills code nl verdwenen,,['http://dbpedia.org/ontology/Mill'],http://dbpedia.org/ontology/millsCodeNLVerdwenen,['http://www.w3.org/2001/XMLSchema#string'],
1516,mills code nl windmotoren,,['http://dbpedia.org/ontology/Mill'],http://dbpedia.org/ontology/millsCodeNLWindmotoren,['http://www.w3.org/2001/XMLSchema#string'],
1517,min,,,http://dbpedia.org/ontology/min,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
1518,min time,Minimum preparation time of a recipe / Food,['http://dbpedia.org/ontology/Food'],http://dbpedia.org/ontology/minTime,['http://www.w3.org/2001/XMLSchema#double'],
1519,minimum area,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/minimumArea,['http://www.w3.org/2001/XMLSchema#string'],
1520,minimum area quote,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/minimumAreaQuote,['http://www.w3.org/2001/XMLSchema#string'],
1521,minimum discharge,,,http://dbpedia.org/ontology/minimumDischarge,['http://www.w3.org/2001/XMLSchema#double'],
