,cleaned_label,description,domain,id,range,superproperty
420,climate,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/climate,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasQuality']
421,climb up number,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/climbUpNumber,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
422,close to,place close to another place,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/closeTo,['http://dbpedia.org/ontology/Place'],
423,closed,,['http://dbpedia.org/ontology/EducationalInstitution'],http://dbpedia.org/ontology/closed,['http://www.w3.org/2001/XMLSchema#date'],
424,closing date,,,http://dbpedia.org/ontology/closingDate,['http://www.w3.org/2001/XMLSchema#date'],
425,closing film,,['http://dbpedia.org/ontology/FilmFestival'],http://dbpedia.org/ontology/closingFilm,['http://dbpedia.org/ontology/Film'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant']
426,closing year,,,http://dbpedia.org/ontology/closingYear,['http://www.w3.org/2001/XMLSchema#gYear'],
427,cloth size,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/clothSize,['http://www.w3.org/2001/XMLSchema#string'],
428,clothing size,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/clothingSize,['http://www.w3.org/2001/XMLSchema#string'],
429,club,,['http://dbpedia.org/ontology/Athlete'],http://dbpedia.org/ontology/club,['http://dbpedia.org/ontology/SportsTeam'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf']
430,clubs record goalscorer,,['http://dbpedia.org/ontology/SoccerClub'],http://dbpedia.org/ontology/clubsRecordGoalscorer,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
431,cluster,,['http://dbpedia.org/ontology/Galaxy'],http://dbpedia.org/ontology/cluster,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart']
432,cmp eva duration,,['http://dbpedia.org/ontology/SpaceMission'],http://dbpedia.org/ontology/cmpEvaDuration,['http://www.w3.org/2001/XMLSchema#double'],
433,cmyk coordinate black,,['http://dbpedia.org/ontology/Colour'],http://dbpedia.org/ontology/cmykCoordinateBlack,['http://www.w3.org/2001/XMLSchema#integer'],
434,cmyk coordinate cyanic,,['http://dbpedia.org/ontology/Colour'],http://dbpedia.org/ontology/cmykCoordinateCyanic,['http://www.w3.org/2001/XMLSchema#integer'],
